,ID,HHID,SEX,AGE,REGULAR,EDU,WAGE,MARRIAGE,STATUS,FULLTIME,YEAR,SPWK,SPWT,CHILDREN
375,67102,671,1,49,0.0,9.0,89.0,1.0,20,63.0,1,0,0.0,0
376,67201,672,0,44,1.0,12.0,160.0,1.0,10,81.0,1,1,64.0,0
377,67202,672,1,39,1.0,6.0,80.0,1.0,20,64.0,1,1,81.0,0
378,67601,676,0,30,1.0,16.0,110.0,1.0,10,54.0,1,1,44.0,0
379,67602,676,1,23,1.0,12.0,60.0,1.0,20,44.0,1,1,54.0,0
380,67701,677,1,25,1.0,16.0,140.0,0.0,10,57.0,1,0,0.0,0
381,67801,678,0,25,1.0,16.0,120.0,0.0,10,54.0,1,0,0.0,0
382,68301,683,1,34,1.0,16.0,240.0,0.0,10,53.0,1,0,0.0,0
383,68404,684,1,45,1.0,9.0,200.0,1.0,20,80.0,1,0,0.0,0
384,68604,686,1,38,1.0,14.0,138.0,1.0,20,51.0,1,0,0.0,1
385,68701,687,0,44,1.0,16.0,300.0,1.0,10,64.0,1,0,0.0,0
386,68801,688,0,37,1.0,16.0,300.0,1.0,10,54.0,1,0,0.0,1
387,69001,690,0,55,1.0,9.0,150.0,1.0,10,40.0,1,0,0.0,0
389,69201,692,0,31,1.0,16.0,160.0,1.0,10,65.0,1,0,0.0,1
392,69601,696,0,30,1.0,12.0,160.0,1.0,10,60.0,1,0,0.0,0
394,69901,699,0,35,1.0,14.0,200.0,1.0,10,60.0,1,0,0.0,2
395,70001,700,0,47,1.0,14.0,170.0,1.0,10,44.0,1,1,58.0,0
396,70002,700,1,40,1.0,12.0,130.0,1.0,20,58.0,1,1,44.0,0
398,70201,702,0,45,0.0,12.0,200.0,1.0,10,50.0,1,1,,0
401,70501,705,0,44,1.0,16.0,150.0,1.0,10,51.0,1,0,0.0,0
403,70602,706,1,40,1.0,9.0,50.0,1.0,20,46.0,1,1,,0
