단위: 천원,,,,,,,,,,,,
,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질
동남구,63236.48671,64147.34422,63588.75094,63042.13923,62599.69125,63181.3447,65644.25795,71310.13614,75189.02266,77443.11162,76250.72609,73740.52925
서북구,59858.80109,59576.79842,58082.94876,57759.75246,58045.72808,61519.55587,68265.32211,72493.14356,77405.91372,79720.47808,78664.83208,74869.99378
공주시,86437.69279,86444.91545,85626.46773,80621.80924,79071.47292,76555.74153,76762.53762,77231.63779,77795.62656,76449.9268,75212.53543,73728.25246
보령시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,72566.22042,73844.22855,74262.65608,75463.068,75562.76842,73771.22122
아산시,62157.18027,60915.26108,59258.10021,59817.54972,60336.5515,63768.64357,68552.92018,71277.81353,74869.58591,77069.87656,76988.71704,74311.39991
서산시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,76468.40324,75434.50083,75572.34676,76348.71051,75800.42653,73826.46677
논산시,63780.02233,64139.73932,63980.46809,64626.14811,69139.9575,75834.96565,76958.62721,76766.19224,77687.01806,76045.06165,74837.28579,73562.51582
계룡시,53476.13998,56854.24368,54347.12777,53354.22776,59187.67933,69034.31178,72252.47708,77050.63119,79150.03839,75545.30623,72860.97104,72893.43085
홍성군,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,75559.85481,76216.70792,76537.04576,76317.08042,75575.27675,73740.52925
예산군,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,71631.52672,72868.08581,73630.17131,74887.40037,74981.13149,73482.71669
